[info] [2021-12-03T06:20:20.077Z] : Service start.
[warn] [2021-12-03T06:20:20.082Z] : Service start warn.
[error] [2021-12-03T06:20:20.083Z] : Service start error.
[info] [2021-12-03T06:20:21.149Z] : Check new transport orders periodically.
[info] [2021-12-03T06:20:21.150Z] : Transport order TOrder-03 to dispatch...
[info] [2021-12-03T06:20:21.150Z] : Check there are any vehicles that could process a transport order.
[info] [2021-12-03T06:20:21.151Z] : Check if there are any idle vehicles that could process the transport order.
[info] [2021-12-03T06:20:21.152Z] : The idle vehicle that could process the transport order is ch_agv_2
[info] [2021-12-03T06:20:21.153Z] : ch_agv_2 start to process TOrder-03
[info] [2021-12-03T06:20:21.153Z] : The sequence of destinations to visit are LM3,LM8,LM4,AP5
[info] [2021-12-03T06:20:21.154Z] : The sequence of destinations to visit are AP5,LM6,AP7
[info] [2021-12-03T06:20:21.158Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 0
[info] [2021-12-03T06:20:21.162Z] : Assigning to Vehicle source_id: LM3 id: LM8 valid: true parking_mark: false task_id: 1638512421153
[info] [2021-12-03T06:20:21.675Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:22.175Z] : Check new transport orders periodically.
[info] [2021-12-03T06:20:22.177Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:22.686Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:23.198Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:23.712Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:24.226Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:24.735Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:25.239Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:25.750Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:26.265Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:26.774Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:27.284Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:27.787Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:28.299Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:28.803Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
